q(A-1)	I(q)20230413_0_00017.edf{0}_circles_22_division_ExposureTime	Sig(q)20230413_0_00017.edf{0}_circles_22	2Theta(degrees)
0.08019	0.00020	0.04104	1.12752
0.08047	0.00021	0.04264	1.13147
0.08075	0.00024	0.04508	1.13543
0.08103	0.00021	0.04233	1.13938
0.08132	0.00021	0.04236	1.14334
0.08160	0.00024	0.04493	1.14729
0.08188	0.00023	0.04446	1.15125
0.08216	0.00020	0.04132	1.15520
0.08244	0.00021	0.04259	1.15916
0.08272	0.00018	0.03904	1.16311
0.08300	0.00022	0.04296	1.16707
0.08328	0.00023	0.04465	1.17102
0.08357	0.00023	0.04476	1.17498
0.08385	0.00023	0.04464	1.17893
0.08413	0.00019	0.04078	1.18289
0.08441	0.00023	0.04435	1.18685
0.08469	0.00020	0.04137	1.19080
0.08497	0.00022	0.04397	1.19476
0.08525	0.00022	0.04315	1.19871
0.08553	0.00023	0.04421	1.20267
0.08582	0.00024	0.04589	1.20662
0.08610	0.00022	0.04337	1.21057
0.08638	0.00023	0.04433	1.21453
0.08666	0.00021	0.04273	1.21848
0.08694	0.00020	0.04134	1.22244
0.08722	0.00021	0.04276	1.22639
0.08750	0.00018	0.03929	1.23035
0.08778	0.00022	0.04324	1.23430
0.08807	0.00022	0.04324	1.23826
0.08835	0.00019	0.04112	1.24221
0.08863	0.00018	0.03924	1.24617
0.08891	0.00019	0.04021	1.25012
0.08919	0.00019	0.04029	1.25408
0.08947	0.00019	0.04056	1.25803
0.08975	0.00020	0.04145	1.26199
0.09003	0.00018	0.03985	1.26594
0.09032	0.00020	0.04196	1.26990
0.09060	0.00022	0.04336	1.27385
0.09088	0.00022	0.04385	1.27781
0.09116	0.00021	0.04261	1.28176
0.09144	0.00019	0.04106	1.28572
0.09172	0.00020	0.04163	1.28967
0.09200	0.00021	0.04257	1.29363
0.09228	0.00020	0.04166	1.29758
0.09257	0.00017	0.03873	1.30154
0.09285	0.00019	0.04022	1.30549
0.09313	0.00016	0.03688	1.30945
0.09341	0.00017	0.03848	1.31340
0.09369	0.00018	0.03915	1.31735
0.09397	0.00019	0.04121	1.32131
0.09425	0.00018	0.03927	1.32526
0.09453	0.00016	0.03793	1.32922
0.09482	0.00019	0.04081	1.33317
0.09510	0.00018	0.04024	1.33713
0.09538	0.00019	0.04082	1.34108
0.09566	0.00023	0.04449	1.34504
0.09594	0.00022	0.04431	1.34899
0.09622	0.00020	0.04188	1.35295
0.09650	0.00020	0.04222	1.35690
0.09678	0.00022	0.04386	1.36085
0.09707	0.00018	0.03994	1.36481
0.09735	0.00021	0.04319	1.36876
0.09763	0.00018	0.04021	1.37272
0.09791	0.00020	0.04204	1.37667
0.09819	0.00020	0.04231	1.38063
0.09847	0.00018	0.04015	1.38458
0.09875	0.00017	0.03874	1.38854
0.09903	0.00017	0.03923	1.39249
0.09932	0.00015	0.03643	1.39644
0.09960	0.00017	0.03907	1.40040
0.09988	0.00017	0.03910	1.40435
0.10016	0.00018	0.03972	1.40831
0.10044	0.00018	0.04029	1.41226
0.10072	0.00019	0.04076	1.41622
0.10100	0.00016	0.03794	1.42017
0.10128	0.00018	0.03988	1.42412
0.10157	0.00019	0.04046	1.42808
0.10185	0.00018	0.03939	1.43203
0.10213	0.00019	0.04142	1.43599
0.10241	0.00013	0.03446	1.43994
0.10269	0.00017	0.03859	1.44390
0.10297	0.00018	0.03942	1.44785
0.10325	0.00019	0.04114	1.45180
0.10353	0.00018	0.04019	1.45576
0.10381	0.00018	0.03939	1.45971
0.10410	0.00018	0.03970	1.46367
0.10438	0.00015	0.03646	1.46762
0.10466	0.00021	0.04318	1.47157
0.10494	0.00024	0.04602	1.47553
0.10522	0.00017	0.03909	1.47948
0.10550	0.00016	0.03762	1.48344
0.10578	0.00016	0.03793	1.48739
0.10606	0.00018	0.04028	1.49135
0.10635	0.00017	0.03899	1.49530
0.10663	0.00018	0.03982	1.49925
0.10691	0.00021	0.04324	1.50321
0.10719	0.00020	0.04207	1.50716
0.10747	0.00018	0.03954	1.51112
0.10775	0.00018	0.04020	1.51507
0.10803	0.00018	0.04040	1.51902
0.10831	0.00014	0.03478	1.52298
0.10860	0.00015	0.03632	1.52693
0.10888	0.00016	0.03815	1.53088
0.10916	0.00013	0.03456	1.53484
0.10944	0.00016	0.03770	1.53879
0.10972	0.00018	0.03986	1.54275
0.11000	0.00020	0.04198	1.54670
0.11028	0.00020	0.04201	1.55065
0.11056	0.00017	0.03845	1.55461
0.11084	0.00015	0.03672	1.55856
0.11113	0.00019	0.04103	1.56252
0.11141	0.00016	0.03727	1.56647
0.11169	0.00016	0.03783	1.57042
0.11197	0.00017	0.03873	1.57438
0.11225	0.00017	0.03895	1.57833
0.11253	0.00017	0.03944	1.58228
0.11281	0.00018	0.03972	1.58624
0.11309	0.00013	0.03469	1.59019
0.11338	0.00015	0.03611	1.59415
0.11366	0.00017	0.03910	1.59810
0.11394	0.00020	0.04196	1.60205
0.11422	0.00020	0.04277	1.60601
0.11450	0.00018	0.03995	1.60996
0.11478	0.00018	0.03962	1.61391
0.11506	0.00016	0.03755	1.61787
0.11534	0.00016	0.03724	1.62182
0.11562	0.00013	0.03400	1.62577
0.11591	0.00016	0.03761	1.62973
0.11619	0.00017	0.03862	1.63368
0.11647	0.00018	0.03964	1.63763
0.11675	0.00020	0.04219	1.64159
0.11703	0.00021	0.04285	1.64554
0.11731	0.00018	0.04011	1.64949
0.11759	0.00016	0.03834	1.65345
0.11787	0.00016	0.03816	1.65740
0.11815	0.00019	0.04094	1.66135
0.11844	0.00022	0.04483	1.66531
0.11872	0.00019	0.04077	1.66926
0.11900	0.00019	0.04140	1.67322
0.11928	0.00019	0.04137	1.67717
0.11956	0.00014	0.03566	1.68112
0.11984	0.00016	0.03829	1.68508
0.12012	0.00015	0.03698	1.68903
0.12040	0.00017	0.03915	1.69298
0.12068	0.00019	0.04074	1.69693
0.12097	0.00019	0.04156	1.70089
0.12125	0.00018	0.04023	1.70484
0.12153	0.00016	0.03779	1.70879
0.12181	0.00017	0.03863	1.71275
0.12209	0.00018	0.04017	1.71670
0.12237	0.00017	0.03921	1.72065
0.12265	0.00018	0.04064	1.72461
0.12293	0.00017	0.03894	1.72856
0.12322	0.00016	0.03822	1.73251
0.12350	0.00018	0.03991	1.73647
0.12378	0.00014	0.03540	1.74042
0.12406	0.00016	0.03819	1.74437
0.12434	0.00015	0.03655	1.74833
